All,Vše
"File can not be saved to the destination folder.","Soubor nelze uložit do cílové složky."
"Unknown EAV indexer type ""%1"".","Neznámý typ EAV indexeru ""%1""."
"We can't rebuild the index for an undefined product.","Pro nedefinované produkty nelze index obnovit."
"Bad value was supplied.","Byla zadána špatná hodnota."
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes.Currently there are %1$d of them.Please reduce the number of filterable/sortable attributes in order to use this module","Modul Sloučený katalog je limitován %2$d filtrovatelných nebo řaditelných atributů. Nyní je jich %1$d. Kvůli použití tohoto modulu snižte počet filtrovatelných/řaditelných atributů"
"Unsupported product type ""%1"".","Nepodporovaný typ produktu ""%1""."
"Please correct the category.","Opravte kategorii prosím."
"Must be category model instance or its id.","Musí být instancí modelu kategorie nebo její ID."
"The attribute model is not defined.","Model atributu není definován."
Category,Kategorie
"%1 - %2","%1 x %2"
"%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface","%1 nerozšiřuje \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface"
"%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter","%1 nerozšiřuje \Magento\Catalog\Model\Layer\Filter\AbstractFilter"
"The filter must be an object. Please set the correct filter.","Filtr musí být objekt. Nastavte správný filtr."
"Clear Price","Smazat cenu"
"%1 and above","%1 a více"
"Group price must be a number greater than 0.","Skupinová cena musí být větší než 0."
"Media Gallery converter should be an instance of EntryConverterInterface.","Převodník galerie médií by měl být instancí EntryConverterInterface."
"There is no MediaGalleryEntryConverter for given type","Pro daný typ neexistuje žádný MediaGalleryEntryConverter"
"Please enter a number 0 or greater in this field.","Do tohoto údaje zadejte číslo 0 nebo větší."
"SKU length should be %1 characters maximum.","Délka SKU může být maximálně %1 znaků."
"Please enter a valid number in this field.","Zadejte platné číslo do tohoto pole."
"We found a duplicate website, tier price, customer group and quantity.","Byla nalezena množstevní cena skupiny zákazníků, webu a množství."
"Percentage value must be a number between 0 and 100.","Procentuální hodnota musí být číslo mezi 0 a 100."
"Invalid option id %1","Neplatná volba ID %1"
"Provided Attribute set non product Attribute set.","Poskytnutá sada atributů není produktová sada atributů."
"Use config","Použít konfiguraci"
"Attribute Set already exists.","Sada atributů již existuje."
"We couldn't copy file %1. Please delete media with non-existing images and try again.","Nelze zkopírovat soubor %1. Prosím, odstraňte média s neexistujícími obrázky a opakujte akci."
"The option type to get group instance is incorrect.","Neplatný typ volby k získání instance skupiny."
"Select type options required values rows.","Zvolte typy voleb požadovaných hodnot řádků."
"Please specify date required option(s).","Zadejte požadované datum(y) prosím."
"Please specify time required option(s).","Zadejte požadovaný čas(y) prosím."
"The option instance type in options group is incorrect.","Neplatný typ instance volby ve skupině voleb."
"The product instance type in options group is incorrect.","Neplatný typ instance produktu ve skupině voleb."
"The configuration item option instance in options group is incorrect.","Neplatná instance konfigurační položky volby ve skupině voleb."
"The configuration item instance in options group is incorrect.","Neplatná instance položky volby ve skupině voleb."
"The BuyRequest instance in options group is incorrect.","Neplatná BuyRequest instance ve skupině voleb."
"We can't add the product to the cart because of an option validation issue.","Z důvodu problému možnosti ověření nelze přidat produkt do košíku."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 nerozšiřuje \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file '%1' for '%2' has an invalid extension.","Soubor '%1' pro '%2' má neplatnou příponu."
"The maximum allowed image size for '%1' is %2x%3 px.","Maximální povolená velikost obrázku pro '%1' je %2 x %3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Nahraný soubor '%1' je větší než serverem povolených %2 megabajtů."
"The file '%1' is invalid. Please choose another one","Soubor '%1' je neplatný. Zkuste jiný"
"File '%1' is not an image.","Soubor '%1' není obrázek."
"Some of the selected item options are not currently available.","Některé ze zvolených položek volby jsou nejsou dostupné."
"Invalid attribute %fieldName = %fieldValue.","Neplatný atribut %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Nebylo nalezeno požadované úložiště. ID řádku: SKU = %SKU, ID obchodu: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Neplatný atribut náklady = %cost. ID řádku: SKU = %SKU, ID obchodu: %storeId."
"Could not save Prices.","Nelze uložit ceny."
"Could not delete Prices","Nelze odstranit ceny"
"Could not save Tier Prices","Nelze uložit úroveň cen"
"Could not replace Tier Prices","Nelze nahradit úroveň cen"
"Could not delete Tier Prices","Nelze odstranit úroveň cen"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Neplatný atribut SKU = %SKU. ID řádku: SKU = %SKU, webové stránky ID: % websiteId, skupina zákazníků: %customerGroup, množství: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Neplatný atribut cena = %price. ID řádku: SKU = %SKU, webové stránky ID: % websiteId, skupina zákazníků: %customerGroup, množství: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Neplatný atribut typ ceny = %priceType. ID řádku: SKU = %SKU, webové stránky ID: % websiteId, skupina zákazníků: %customerGroup, množství: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Neplatný atribut množství = %qty. ID řádku: SKU = %SKU, webové stránky ID: % websiteId, skupina zákazníků: %customerGroup, množství: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Neplatný atribut ID webové stránky = % websiteId. ID řádku: SKU = %SKU, webové stránky ID: % websiteId, skupina zákazníků: %customerGroup, množství: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Našli jsme duplicitní stránky, úroveň ceny, skupina zákazníků a množství: skupina zákazníků = %customerGroup, webové stránky ID = % websiteId, množství = %qty. ID řádku: SKU = %SKU, webové stránky ID: % websiteId, skupina zákazníků: %customerGroup, množství: %qty."
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Produkt nemá skupinovou cenu s údaji: customerGroupId = '%1', web = %2, qty = %3"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 nerozšiřuje \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 nerozšiřuje \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually",Skrytý
"Catalog, Search","Katalog i hledání"
"Something went wrong while removing products from the websites.","Při odebrání produktů z webů nastala chyba."
"Something went wrong while adding products to websites.","Při přidávání produktů na weby nastala chyba."
"Product with SKU '%1' is not linked to product with SKU '%2'","Produkt se SKU '%1' není spojen s produktem se SKU '%2'"
"Product %1 doesn't have linked %2 as %3","Produkt %1 není propojen %2 jako %3"
"Invalid product data: %1","Neplatné údaje produktu: %1"
"Database connection error","Chyba v připojení k databázi"
"Database deadlock found when trying to get lock","Při pokusu o uzamčení došlo k zablokování databáze"
"Database lock wait timeout exceeded","Byl překročen časový limit čekání na zámek databáze"
"There are not websites for assign to product","K přiřazení k produktu neexistuje žádný web"
"Could not assign product ""%1"" to websites ""%2""","K webu ""%2"" nelze produkt ""%1"" přiřadit"
"Could not save product ""%1"" with websites %2","S webem ""%2"" nelze produkt ""%1"" uložit"
"We cannot determine the field name.","Nelze určit název údaje."
"Attribute '%1' is locked. %2","Atribut '%1' je uzamčen. %2"
"A product type is not defined for the indexer.","Typ produktu není definován indexerem."
"Product with SKU %1 is not linked to product with SKU %2","Produkt s SKU %1 není propojen s produktem s SKU %2"
Dropdown,"Rozbalovací seznam"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 nerozšiřuje \Magento\Framework\Filter\Template"
message,vzkaz
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Neplatný atribut cena = %price. ID řádku: SKU = %SKU, ID obchodu: %storeId, Cena od: %priceFrom, Cena do: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Požadovaný obchod nenalezen. ID řádku: SKU = %SKU, ID obchodu: %storeId, Cena od: %priceFrom, Cena do: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Neplatný atribut %label = %priceTo. ID řádku: SKU = %SKU, ID obchodu: %storeId, Cena od: %priceFrom, Cena do: %priceTo."
"Lock wait timeout","Vypršel čas zámku"
"Advanced Pricing","Pokročilá cenotvorba"
"Customer Group Price","Cena pro skupinu zákazníků"
"Customer Group","Zákaznická skupina"
"Special Price From","Akční cena od"
"Product Alerts","Hlídání produktů"
"Add Selected","Přidat zvolené"
"Select Attribute","Zvolit atribut"
"Create New Attribute","Vytvořit nový atribut"
"Customizable Options","Přizpůsobitelné volby"
"Custom options let customers choose the product variations they want.","Vlastní možnosti umožňují zákazníkům vybrat požadovanou variantu produktu."
"Select Product","Zvolte produkt"
"Add Value","Přidání hodnotu"
"Option Type","Typ volby"
"Max Characters","Maximálně znaků"
"Compatible File Extensions","Kompatibilní typy souborů"
"Maximum Image Size","Maximální velikost obrázku"
"Please leave blank if it is not an image.","Pokud to není obrázek, nechte prázdné."
"This item has weight","Tato položka něco váží"
"This item has no weight","Tato položka neváží nic"
"Set Product as New From","Jako novinka od"
"Related Products, Up-Sells, and Cross-Sells","Související, doporučené a křížové produkty"
"Add Related Products","Přidat související produkty"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Doporučenými produkty lze zákazníkovi nabídnout dražší nebo kvalitnější alternativy produktu, který si právě prohlíží."
"Add Up-Sell Products","Přidat doporučené produkty"
"Up-Sell Products","Doporučené produkty"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Tyto produkty se zobrazí po vložení produktu do košíku za účelem navýšit objednávku doporučením souvisejícího zboží."
"Add Cross-Sell Products","Přidat křížové produkty"
"Cross-Sell Products","Křížové produkty"
"Schedule Update From","Naplánovat změnu od"
"Product in Websites","Produkt na webech"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Má-li vaše Magento více obchodů, můžete upravit rozsah a použít produkt na konkrétních obchodech."
name,název
"Copy Data from","Kopírovat data z"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Pokud neexistují žádné vlastní nadřazené kategorie, použijte výchozí nadřazenou kategorii. Kategorii můžete přiřadit kdykoli v <a href=""%1"" target=""_blank""> Produkty &gt; Kategorie</a>."
"This operation can take a long time","Tato operace může trvat dlouho"
"Collapse All","Sbalit vše"
"Expand All","Rozbalit vše"
"Please confirm site switching. All data that hasn't been saved will be lost.","Potvrďte přepnutí stránky. Všechny neuložené změny budou ztraceny."
"Manage Titles (Size, Color, etc.)","Názvy atributu (Velikost, Barva, apod.)"
"Manage Options (Values of Your Attribute)","Správa možností (hodnoty atributu)"
"Sort Option","Možnosti řazení"
"The value of Admin must be unique.","Hodnota Admin musí být jedinečná."
Groups,Skupiny
"Double click on a group to rename it.","Dvojklikem lze skupinu přejmenovat."
"Unassigned Attributes","Nepřiřazené atributy"
"This group contains system attributes. Please move system attributes to another group and try again.","Tato skupina obsahuje systémové atributy. Atributy přemístěte do jiné skupiny a zkuste to znovu."
"A name is required.","Název je povinný."
"Please select a node.","Prosím vyberte uzel."
"Please enter a new group name.","Zadejte nový název skupiny prosím."
"An attribute group named ""/name/"" already exists.","Název skupiny atributů ""/name/"" již existuje."
"Sorry, we're unable to complete this request.","Je nám líto, požadavek nelze dokončit."
"You can't remove attributes from this attribute set.","Atributy nelze odebrat z této sady atributů."
"Custom Options","Vlastní volby"
"This is a required option.","Tato volba je povinná."
"The field isn't complete.","Pole není kompletní."
"Compatible file extensions to upload","Povolené typy souborů k nahrání"
"Maximum image width","Maximální šířka obrázku"
"Maximum image height","Maximální výška obrázku"
"Maximum number of characters:","Maximální počet znaků:"
"start typing to search template","pro vyhledání šablony začněte psát"
"Product online","Zapnutý produkt"
"Product offline","Vypnutý produkt"
"Product online status","Stav produktu"
"Manage Stock","Sledovat zásoby"
"Out-of-Stock Threshold","Množství pro Není skladem"
"Minimum Qty Allowed in Shopping Cart","Minimální množství v košíku"
"Maximum Qty Allowed in Shopping Cart","Maximální množství v košíku"
"Qty Uses Decimals","Množství používá desetiny"
Backorders,"Přečerpání zásob"
"Notify for Quantity Below","Avizovat při počtu menší než"
"Enable Qty Increments","Zapnout násobky množství"
"Qty Increments","Násobky množství"
"Stock Availability","Skladová dostupnost"
"In Stock",Skladem
"Out of Stock","Není skladem"
"Add Product To Websites","Přidat produkt k webům"
"Remove Product From Websites","Odstranit produkt z webů"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Pro skrytí položky v katalogu nebo výsledcích hledání nastavte stav na ""Vypnuto""."
"Delete Custom Option","Odstranit vlastní volbu"
"Sort Custom Options","Pořadí vlastních voleb"
"Sort Custom Option","Pořadí vlastních voleb"
"Item Price",Cena
"and above","a více"
"Delete Tier","Odstranit množstevní cenu"
"Product In Websites","Produkt na webech"
"(Copy data from: %1)","(Kopírovat údaje z: %1)"
"Browse to find or drag image here","Procházet počítač nebo obrázek přetáhněte sem"
"Delete image","Odstranit obrázek"
Hidden,Skrytý
"Alt Text","Alternativní text"
"Image Size","Velikost obrázku"
"Image Resolution","Rozlišení obrázku"
"Hide from Product Page","Skrýt na stránce produktu"
"Allow Multiple Boxes for Shipping","Povolit násobné zásilky pro přepravu"
"start typing to search attribute","pro vyhledání atributu začněte psát"
"Basic Settings","Základní nastavení"
"Advanced Settings","Rozšířené nastavení"
"Special Price","Akční cena"
"Buy %1 for: ","Kupte %1 za:"
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Kupte %1 za %2 a <strong class=""benefit""> ušetříte<span class=""percent tier-%3"">&nbsp;%4</span> %</strong>"
"Buy %1 for %2 each","Kupte %1 za %2"
"Shop By",Navigace
"Shopping Options","Filtr parametrů"
"Compare Products","Porovnání produktů"
"Print This Page","Vytisknout tuto stránku"
"Remove Product","Odebrat produkt"
"Add to Wish List","Přidat k oblíbeným"
"You have no items to compare.","K porovnání nebyl zvolen žádný produkt."
"Remove This Item","Odstranit tuto položku"
Compare,Porovnat
"Clear All","Odebrat vše"
Prev,Předchozí
"We can't find products matching the selection.","Nelze najít produkty odpovídající výběru."
"Learn More","Dozvědět se více"
"Add to Compare","Přidat k porovnání"
"We found other products you might like!","Následující produkty by vás mohli zajímat!"
"More Choices:","Další volby:"
"Check items to add to the cart or","Označené budou vloženy do košíku..."
"select all","zvolit vše"
"Items %1-%2 of %3","Produkty %1-%2 z %3"
"%1 Item","%1 položka"
"%1 Items","%1 položek"
Show,Zobrazit
"Sort By","Seřadit podle"
"Set Ascending Direction","Nastavit vzestupně"
"Set Descending Direction","Nastavit sestupně"
"View as",Zobrazení
"More Information","Více informací"
"Maximum %1 characters","Maximálně %1 znaků"
"Warning message",Upozornění
"We don't recognize or support this file extension type.","Nelze zjistit, zda je tento typ souboru podporován."
"Configure Product","Sestavit produkt"
"This value does not follow the specified format (for example, 200X300).","Tato hodnota není podle zadaného formátu (například: 200 X 300)."
"Select type of option.","Zvolte typ volby"
"Please add rows to option.","Přidejte řádky volby."
"Choose existing category.","Zvolte existující kategorii."
"Image Detail","Detail obrázku"
Adding...,Přidávám...
Added,Přidáno
remaining,zbývá
"too many","příliš mnoho"
"unselect all","zrušit výběr"
Inventory,Inventář
"Catalog Section","Sekce katalog"
Small,Malý
Main,Hlavní
"Custom image","Výchozí pozadí"
"Product Fields Auto-Generation","Autogenerované údaje produktu"
"Mask for SKU","Maska pro SKU"
"Use {{name}} as Product Name placeholder","Použijte {{name}} jako zástupce názvu produktu"
"Mask for Meta Title","Maska meta titulku"
"Mask for Meta Keywords","Maska meta klíčových slov"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Použijte {{name}} jako zástupce názvu nebo {{sku}} jako zástupce kódu"
"Mask for Meta Description","Maska meta popisu"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Použijte {{name}} a {{description}} jako zástupce názvu a popisu"
"Recently Viewed/Compared Products","Poslední zobrazené / porovnávané produkty"
"Lifetime of products in Recently Viewed Widget","Doba, po kterou je produkt zobrazen ve widgetu Nedávno zobrazených produktech"
"Lifetime of products in Recently Compared Widget","Doba, po kterou je produkt zobrazen ve widgetu Nedávno porovnaných produktech"
Storefront,Obchod
"List Mode","Způsob zobrazení"
"Products per Page on Grid Allowed Values","Povolené počty zobrazených produktů na stránku v tabulce"
Comma-separated.,"Hodnoty oddělené čárkou."
"Products per Page on Grid Default Value","Výchozí počet zobrazených produktů na stránku v tabulce"
"Products per Page on List Allowed Values","Povolené počty zobrazených produktů na stránku v seznamu"
"Products per Page on List Default Value","Výchozí počet zobrazených produktů na stránku v seznamu"
"Use Flat Catalog Category","Použít sloučená data kategorie"
"Use Flat Catalog Product","Použít sloučená data produktu"
"Product Listing Sort by","Zobrazené produkty řadit podle"
"Allow All Products per Page","Umožnit zobrazení všech produktů na stránku"
"Product Image Placeholders","Náhradní obrázek produktů"
"Page Title Separator","Oddělovač v názvu stránky"
"Use Canonical Link Meta Tag For Categories","Používat kanonická URL kategorií"
"Use Canonical Link Meta Tag For Products","Používat kanonická URL produktů"
"Catalog Price Scope","Cenový rozsah katalogu"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definuje rozsah základní měny (""Nastavení měny"" > ""Údaje měny"" > ""Základní měna"")."
"Category Top Navigation","Top menu kategorie"
"Maximal Depth","Úroveň podkategorie"
"Date & Time Custom Options","Nastavení času a datumu"
"Use JavaScript Calendar","Použít javascript kalendář"
"Date Fields Order","Formát datumu"
"Time Format","Formát času"
"Year Range","Rozsah roků"
"Please use a four-digit year format.","Použijte čtyřmístný formát roku."
"Top Level Category","Kategorie nejvyšší úrovně"
"Product Info Column","Sloupec Product Info"
"Block after Info Column","Blok za Info sloupcem"
"Product Flat Data","Sloučená data produktu"
"Reorganize EAV product structure to flat structure","Přebudovat EAV strukturu produktu na sloučenou"
"Category Flat Data","Sloučená data kategorie"
"Reorganize EAV category structure to flat structure","Přebudovat EAV strukturu kategorie na sloučenou"
"Category Products","Produkty kategorie"
"Indexed category/products association","Indexované vazby kategorií a produktů"
"Product Categories","Kategorie produktu"
"Indexed product/categories association","Indexované vazby kategorií a produktů"
"Product Price","Cena produktu"
"Index product prices","Index cen produktů"
"Product EAV","EAV produktu"
"Index product EAV","EAV indexu produktu"
"Catalog New Products List","Seznam nových produktů katalogu"
"List of Products that are set as New","Seznam produktů nastavených jako novinka"
"Display Type","Způsob zobrazení"
"All products - recently added products, New products - products marked as new","Všechny produkty - poslední přidané produkty, Nové produkty - produkty nastavené jako novinka"
"All products","Všechny produkty"
"New products","Nové produkty"
"Display Page Control","Nastavení zobrazení stránky"
"Number of Products per Page","Počet produktů na stránce"
"Number of Products to Display","Počet produktů k zobrazení"
Template,Šablona
"New Products Grid Template","Šablona mřížky nových produktů"
"New Products List Template","Šablona seznamu nových produktů"
"New Products Images and Names Template","Šablona názvů s obrázkem nových produktů"
"New Products Names Only Template","Šablona názvů nových produktů"
"New Products Images Only Template","Šablona obrázků nových produktů"
"Cache Lifetime (Seconds)","Životnost mezipaměti (vteřiny)"
"Catalog Product Link","Odkaz produktu katalogu"
"Link to a Specified Product","Odkaz na konkrétní produkt"
"Select Product...","Vyberte produkt..."
"Anchor Custom Text","Vlastní text záchytného odkazu"
"If empty, we'll use the product name here.","Je-li údaj prázdný, bude použit název produktu."
"Anchor Custom Title","Vlastní název kotvy"
"Product Link Block Template","Blokový odkaz produktu"
"Product Link Inline Template","Řádkový odkaz produktu"
"Catalog Category Link","Odkaz kategorie katalogu"
"Link to a Specified Category","Odkaz na konkrétní kategorii"
"Select Category...","Vyberte kategorii..."
"If empty, we'll use the category name here.","Je-li údaj prázdný, bude použit název kategorie."
"Category Link Block Template","Blokový odkaz kategorie"
"Category Link Inline Template","Řádkový odkaz kategorie"
"Recently Viewed Products","Nedávno zobrazené produkty"
"List of Products Recently Viewed by Visitor","Seznam posledních zobrazených produktů"
"UI Component","UI Komponenta"
"Number of Products to display","Počet produktů k zobrazení"
"Product attributes to show","Počet atributů k zobrazení"
Image,Obrázek
"Learn More Link","Odkaz Dozvědět se více"
"Buttons to show","Tlačítka k zobrazení"
"Add to Wishlist","Přidat k oblíbeným"
"Viewed Products Grid Template","Zobrazené produkty v mřížce"
"Viewed Products List Template","Zobrazené produkty v seznamu"
"Viewed Products Sidebar Template","Zobrazené produkty v postranní liště"
"Recently Compared Products","Poslední porovnávané produkty"
"List of Products Recently Compared by Visitor","Seznam posledních porovnávaných produktů"
"Compared Products Grid Template","Porovnávané produkty v mřížce"
"Compared Products List Template","Porovnávané produkty v seznamu"
Set,Nastavit
"Category Information","Nastavení kategorie"
"Enable Category","Zapnout kategorii"
"Include in Menu","Zahrnout do menu"
"Category Image","Obrázek kategorie"
"Add CMS Block","Přidat CMS blok"
"Display Settings","Nastavení zobrazení"
Anchor,Kotva
"Use All","Použít vše"
"Default Product Listing Sort By","Výchozí řazení produktů podle"
"Layered Navigation Price Step","Krok ceny vrstvené navigace"
"URL Key","URL klíč"
"Meta Title","Meta název"
"Meta Keywords","Meta klíčová slova"
"Meta Description","Meta popis"
"Products in Category","Produkty v kategorii"
Theme,Téma
Layout,Rozložení
"Layout Update XML","Úprava XML rozvržení"
"Apply Design to Products","Použít vzhled na produkty"
"Schedule Design Update","Naplánovat změnu vzhledu"
AttributeSetText,"Text sady atributů"
StatusText,"Text stavu"
"Product Image Watermarks","Nastavení vodoznaku v obrázcích produktů"
Base,Základní
"Allowed file types: jpeg, gif, png.","Povolené typy souborů: jpeg, gif, png."
"Image Opacity","Průhlednost obrázku"
"Example format: 200x300.","Ukázka formátu: 200x300."
"Image Position","Pozice obrázku"
"Attribute Properties","Vlastnosti atributu"
"Attribute Label","Označení atributu"
"Catalog Input Type for Store Owner","Typ údaje pro správce obchodu"
Values,Hodnoty
"Add this attribute to the list of column options in the product grid.","Přidejte tento atribut do seznamu možností sloupce v mřížkovém zobrazení produktů."
"Add this attribute to the list of filter options in the product grid.","Přidejte tento atribut do seznamu možností filtru v mřížckovém zobrazení produktů."
"Delete selected items?","Odstranit zvolené položky?"
"Delete items","Odstranit položky"
"Change status","Změnit stav"
"Update attributes","Změnit atributy"
Overview,Přehled
"Skip to the end of the images gallery","Přeskočit na konec galerie s obrázky"
"Skip to the beginning of the images gallery","Přeskočit na začátek galerie s obrázky"
"Recently Compared","Poslední porovnávané"
"Add To Cart","Přidat do košíku"
"Add To Compare","Přidat k porovnání"
"Learn more","Zjistit více"
"Recently Viewed","Nedávno zobrazené"
"Edit Event","Upravit událost"
"Add Event","Přidat událost"
Events,Události
"Add Catalog Event","Přidat katalog akcí"
"Back to Category","Zpět na kategorii"
"Edit Catalog Event","Upravit katalog akcí"
"Catalog Event Information","Informace o katalogu akcí"
Upcoming,Nadcházející
Open,Otevřít
Closed,Zavřeno
"Display Countdown Ticker On","Zobrazení odpočítávání na"
"Category Page","Stránka kategorie"
"Product Page","Stránka produktu"
"Coming Soon","Již brzy"
"Sale Ends In","Prodej končí za"
"You deleted the event.","Událost byla odstraněna."
"New Event","Nová událost"
"Something went wrong while saving this event.","Došlo k chybě při ukládání této akce."
"We did not upload your image.","Nepodařilo se nahrát váš obrázek"
"You saved the event.","Akce byla uložena."
"Please make sure the end date follows the start date.","Ujistěte se prosím, že datum ukončení následuje po datumu zahájení."
"Event for selected category","Akce pro vybranou kategorii"
"This product is no longer on sale.","Tento produkt již není v prodeji."
"Some of these products can no longer be sold.","Některé z těchto výrobků již nemohou být prodávány."
"Select Category","Vybrat kategorii"
Hrs,Hod
Mins,Minut
Sec,Sekund
"Preview Sale","Náhled prodeje"
"Go To Sale","Přejít na prodej"
"View Sale","Zobrazit prodej"
Days,Dny
"Catalog Events","Katalog akcí"
"Enable Catalog Events Functionality","Povolit funkce katalogu akcí"
"Enable Catalog Event Widget on Storefront","Povolit katalog akcí Widget ve Storefrontu"
"Number of Events to be Displayed in Event Slider Widget","Počet akcí, které mají být zobrazeny v Event Slider Widgetu."
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Můžete přepsat výchozí hodnotu v CMS pomocí limit = ""x"" proměnné. Ponechejte prázdné pro bez omezení."
Scroll,Posun
"Block Custom Width","Vlastní šířka bloku"
"Category ID","ID kategorie"
Start,"Od data"
End,"Do data"
"There are no product types available for export.","K exportu nejsou dostupné žádné typy produktů."
"Category ""%1"" has not been created.","Kategorii ""%1"" nelze vytvořit."
"File directory '%1' is not readable.","Adresář souboru '%1' není čitelný."
"File directory '%1' is not writable.","Adresář souboru '%1' není zapisovatelný."
"Value for 'price' sub attribute in 'store' attribute contains incorrect value","Hodnota subatributu 'price' v atributu 'store' obsahuje nesprávnou hodnotu"
"Please enter a value for title.","Zadejte hodnotu pro název."
"Value for 'price' sub attribute in 'custom_options' attribute contains incorrect value","Hodnotu subatributu 'price' atributu 'custom_options' obsahuje nesprávnou hodnotu"
"Value for 'maximum characters' sub attribute in 'custom_options' attribute contains incorrect value","Hodnota subatributu 'maximum characters' atributu 'custom_options' obsahuje nesprávnou hodnotu"
"Value for 'sort order' sub attribute in 'custom_options' attribute contains incorrect value","Hodnota subatributu 'sort order' atributu 'custom_options' obsahuje nesprávnou hodnotu"
"Value for 'value price' sub attribute in 'custom_options' attribute contains incorrect value","Hodnotu subatributu 'value price' atributu 'custom_options' obsahuje nesprávnou hodnotu"
"This name is already being used for custom option. Please enter a different name.","Tento název je již pro vlastní volbu používán. Zadejte jiný prosím."
"Custom options have different types.","Vlastní možnosti jsou různého typu."
"Every option entity must have a parent product entity.","Každá volba entity musí mít nadřazenou entitu produktu."
"Please correct the parameters.","Opravte parametry prosím."
"File '%1' was not found or has read restriction.","Soubor '%1' nebyl nalezen nebo jej nelze číst."
"Minimum Qty","Minimální množství"
"Add Minimum Qty","Přidat minimální množství"
"Could not rebuild index for empty products array","Pro prázdné pole produktů nelze index obnovit"
"This product is out of stock.","Tento produkt není skladem."
"Some of the products are out of stock.","Některé produkty nejsou skladem."
"The stock item for Product in option is not valid.","Množství zvolené varianty produktu je neplatné."
"Undefined product type","Neznámý typ produktu"
"%1 is not a correct comparison method.","%1 není správný způsob porovnání."
"No Backorders","Nepovolit přečerpání"
"Allow Qty Below 0","Povolit přečerpání zásoby do záporného stavu"
"Allow Qty Below 0 and Notify Customer","Povolit přečerpání a zákazníka upozornit"
"Unable to remove Stock with id ""%1""","Sklad s id ""%1"" se nepodařilo odstranit"
"Unable to remove Stock Status for product %1","Stav zásob produktu %1 se nepodařilo odebrat"
"Not all of your products are available in the requested quantity.","Ne všechny vaše produkty jsou dostupné v požadovaném množství."
"The fewest you may purchase is %1.","Můžete zakoupit nejméně %1 ks."
"Please correct the quantity for some products.","Opravte prosím množství některých produktů."
"The most you may purchase is %1.","Můžete zakoupit nejvíce %1 ks."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","Požadované množství ""%1"" není dostupné, ale zbývající %2 doobjednáme."
